name,message,keywords,external_id,title,description,issue_type,issueID,paths,commitID,issueType,BugFix,Refactoring,Test,Feature,Documentation,Maintainance,Other,Refactoring_2,Refactoring_1_2
log4j,- Moved contents of o.a.joran to o.a.log4j.jorans- The Joran interpreter will not skip nested element when if the begin() method of the parent throws an Exception.s- Other minor improvementssssgit-svn-id: https://svn.apache.org/repos/asf/logging/log4j/trunk@311214 13f79535-47bb-0310-9956-ffa450edef68s,,,,,,,tests/src/java/org/apache/log4j/joran/JoranConfiguratorTest.java||tests/src/java/org/apache/log4j/db/BindDataSourceToJNDIAction.java||tests/input/joran/exception1.xml||tests/src/java/org/apache/log4j/joran/action/BadEndAction.java||src/java/org/apache/log4j/config/ConfiguratorBase.java||tests/src/java/org/apache/log4j/joran/SimpleStoreTest.java||src/java/org/apache/log4j/joran/spi/SimpleRuleStore.java||tests/integration/target/.cvsignore||tests/input/joran/exception2.xml||tests/src/java/org/apache/log4j/joran/NOPAction.java||tests/integration/test/java/TestSampleServlet.java||tests/integration/src/java/SampleServlet.java||tests/src/java/org/apache/log4j/joran/action/StackCounterAction.java||tests/src/java/org/apache/log4j/joran/PatternTest.java||tests/input/joran/newRule1.xml||src/java/org/apache/log4j/spi/ErrorItem.java||tests/build.xml||src/java/org/apache/log4j/LogManager.java||src/java/org/apache/log4j/helpers/OptionConverter.java||tests/integration/build.xml||tests/src/java/org/apache/log4j/joran/action/HelloAction.java||tests/src/java/org/apache/log4j/joran/action/BadBeginAction.java||src/java/org/apache/log4j/selector/servlet/ContextDetachingSCL.java||tests/src/java/org/apache/log4j/joran/InterpreterTest.java||src/java/org/apache/log4j/joran/spi/Interpreter.java||tests/src/java/org/apache/log4j/joran/action/TouchAction.java||src/java/org/apache/log4j/joran/spi/Pattern.java||src/java/org/apache/log4j/joran/action/AppenderAction.java||tests/integration/src/webapp/WEB-INF/classes/test-log4j.xml,58c8ec1aa2ce44391f3a1869,,0,1,1,0,1,0,0,1,1
oisafe,Switched from deprecated dialog handling to newer ProgressDialog() in PassLists,,,,,,,Safe/src/org/openintents/safe/PassList.java,58c89233cba9df19683b5953,,0,1,0,0,0,0,0,1,1
log4j,[This change should be revieweds particularly by MarkW]ssChange to fix the PluginTestCase.ssThe change from the use of the equals(...) method tosuse the new isEquivalent(Plugin) method seems to havesmissed the comparison check of the class of eachsPlugin.  I have modified this to be inline with what thesexisting Witness file is expecting.ssIf the class of the plugin should not form part of thesequivalence checks then the witness file will need to be modified.sssgit-svn-id: https://svn.apache.org/repos/asf/logging/log4j/trunk@310195 13f79535-47bb-0310-9956-ffa450edef68s,,,,,,,src/java/org/apache/log4j/plugins/PluginSkeleton.java||tests/src/java/org/apache/log4j/plugins/PluginTestCase.java,58c8ec23a2ce44391c3a1e04,,1,1,1,0,1,0,0,1,1
log4j,- Internal logging is now on even after a LogManager.resetConfiguration.s(Temporary code. All this will be radically changed when Domains enter sthe scene.)ss- PropertySetter.setProperties method no longer activates the options sof OptionHandlers. This results in slighly less confusing code. sChanged ProppertyConfigurator to take thismodification  into account.ss- Renamed test cases from XTestCase to XTest where X varies.sssgit-svn-id: https://svn.apache.org/repos/asf/logging/log4j/trunk@310055 13f79535-47bb-0310-9956-ffa450edef68s,,,,,,,tests/src/java/org/apache/log4j/PatternLayoutTest.java||src/java/org/apache/log4j/config/PropertySetter.java||src/java/org/apache/log4j/Hierarchy.java||src/java/org/apache/log4j/PropertyConfigurator.java||tests/build.xml||src/java/org/apache/log4j/LogManager.java||tests/src/java/org/apache/log4j/helpers/BoundedFIFOTestCase.java,58c8ec23a2ce4439293a1ebc,,0,1,1,0,1,1,0,1,1
oisafe,OI Safe: added support for hardware search button.   Can be activiated from CategoryLists PassList and PassView.ssgit-svn-id: https://openintents.googlecode.com/svn/trunk@3080 72b678ce-9140-0410-bee8-679b907dd61as,,,,,,,Safe/src/org/openintents/safe/CategoryList.java||Safe/src/org/openintents/safe/PassView.java||Safe/src/org/openintents/safe/PassList.java,58c89234cba9df19413b59aa,,0,1,0,0,0,0,0,1,1
oisafe,move to standard folder conventions,,,,,,,Safe/src/main/java/org/openintents/safe/CryptoHelperException.java||Safe/src/main/res/values-sv/strings.xml||Safe/src/main/java/org/openintents/safe/ChangePass.java||promotion/description/translations/description-oc.txt||Safe/src/main/res/values-it/strings.xml||Safe/src/main/res/layout/front_door.xml||Safe/src/main/java/org/openintents/safe/Safe.java||promotion/description/translations/description-cs.txt||Safe/src/main/java/org/openintents/safe/password/Master.java||Safe/src/main/res/drawable-mdpi-v11/ic_menu_switch_alpha.png||promotion/description/translations/description-ca.txt||Safe/src/main/java/org/openintents/safe/Restore.java||Safe/src/main/res/drawable/passicon.png||Safe/src/main/res/raw/dooropening1.ogg||promotion/description/translations/description-ko.txt||Safe/src/main/res/values-cs/strings.xml||promotion/description/translations/description-be.txt||SafeTest/libs/polidea_test_runner_1.2.jar||Safe/src/main/java/org/openintents/safe/CategoryListItemAdapter.java||Safe/src/main/res/drawable-mdpi-v11/ic_menu_switch_numeric.png||Safe/src/main/res/anim/cycle_7.xml||Safe/src/main/res/values/arrays.xml||Safe/src/main/java/org/openintents/safe/Intents.java||Safe/src/main/res/layout/pass_view.xml||Safe/src/main/java/org/openintents/safe/wrappers/honeycomb/WrapActionBar.java||Safe/src/main/res/layout/pass_list.xml||SafeTest/.classpath||Safe/src/main/java/org/openintents/safe/RestoreHandler.java||Safe/src/main/res/layout-land/keypad.xml||Safe/src/main/java/org/openintents/safe/wrappers/icecreamsandwich/WrapNotificationBuilder.java||Safe/src/main/res/xml/preferences.xml||Safe/src/main/java/org/openintents/intents/CryptoIntents.java||Safe/src/main/res/drawable-xhdpi-v11/ic_menu_add_password.png||Safe/src/main/res/values-pt/strings.xml||SafeDemo/readme.txt||Safe/src/main/res/layout/pass_edit_fragment.xml||Safe/src/main/java/org/openintents/safe/model/PackageAccessEntry.java||Safe/src/main/res/values-tl/strings.xml||promotion/description/translations/description-hr.txt||Safe/src/main/res/values-sk/strings.xml||promotion/description/translations/description-tr.txt||gradle/wrapper/gradle-wrapper.properties||Safe/src/main/java/org/openintents/safe/service/AutoLockService.java||Safe/src/main/res/raw/click6a.ogg||Safe/src/main/java/org/openintents/safe/RestoreFirstTime.java||Safe/src/main/java/org/openintents/safe/model/Passwords.java||Safe/src/main/java/estreamj/framework/ICipherMaker.java||promotion/description/translations/description-fr.txt||SafeDemo/AndroidManifest.xml||SafeDemo/src/org/openintents/intents/CryptoIntents.java||Safe/src/main/res/layout/pass_edit.xml||promotion/description/translations/description-tl.txt||Safe/src/main/java/estreamj/framework/ICipher.java||promotion/description/translations/description-ro.txt||SafeTest/res/layout/main.xml||Safe/src/main/res/values-sd/strings.xml||Safe/src/main/res/drawable-hdpi-v11/ic_menu_switch_numeric.png||Safe/src/main/java/org/openintents/safe/DBHelper.java||Safe/src/main/java/org/openintents/util/SecureDelete.java||SafeTest/libs/robotium-solo-3.1.jar||Safe/src/main/res/drawable-ldpi-v11/ic_menu_switch_numeric.png||promotion/description/translations/description-es.txt||.gitignore||Safe/src/main/res/drawable-ldpi-v11/ic_menu_add_password.png||Safe/src/main/res/drawable-mdpi-v5/ic_launcher_safe.png||promotion/description/description.txt||Safe/src/main/res/values-ru/strings.xml||Safe/src/main/res/values-ja/strings.xml||Safe/src/main/java/org/openintents/safe/SimpleGestureFilter.java||Safe/src/main/res/drawable/ic_launcher_folder_small.png||Safe/src/main/java/org/openintents/safe/service/ServiceNotification.java||Safe/src/main/java/org/openintents/safe/Backup.java||Safe/src/main/java/estreamj/framework/Engine.java||Safe/src/main/java/org/openintents/safe/SafeApplication.java||promotion/description/translations/description-sv.txt||SafeTest/AndroidManifest.xml||gradlew||Safe/src/main/java/estreamj/framework/Utils.java||Safe/src/main/java/org/openintents/safe/dialog/FirstTimeWarningDialog.java||SafeDemo/src/org/openintents/samples/testsafe/TestSafe.java||Safe/src/main/java/org/openintents/safe/PRNGFixes.java||Safe/src/main/assets/help.html||Safe/src/main/java/estreamj/ciphers/trivium/Trivium.java||Safe/src/main/res/values-es/strings.xml||promotion/description/translations/description-nb.txt||promotion/description/translations/description-sk.txt||Safe/src/main/java/org/openintents/safe/CSVReader.java||Safe/src/main/res/layout/chg_pass.xml||promotion/description/translations/description-ar.txt||Safe/src/main/java/org/openintents/safe/PassGen.java||Safe/src/main/java/org/openintents/safe/PassEdit.java||Safe/src/main/res/values-ro/strings.xml||promotion/description/translations/description-pt.txt||Safe/src/main/res/values-ko/strings.xml||Safe/src/main/res/raw/recent_changes.txt||promotion/description/translations/description-el.txt||Safe/src/main/res/drawable-xhdpi-v11/ic_menu_switch_numeric.png||promotion/description/translations/description-ja.txt||Safe/src/main/res/values-nl/strings.xml||promotion/description/translations/description-iw.txt||SafeTest/.project||Safe/src/main/res/drawable/ic_launcher_safe.png||Safe/src/main/res/raw/license_short.txt||Safe/src/main/res/drawable-mdpi-v11/ic_menu_add_password.png||Safe/src/main/res/values-lv/strings.xml||build.gradle||promotion/description/translations/description-ru.txt||Safe/NOTES||promotion/description/translations/description-it.txt||Safe/src/main/java/org/openintents/safe/Preferences.java||promotion/description/translations/description-zh-rCN.txt||promotion/description/translations/description-mk.txt||Safe/src/main/java/org/openintents/safe/SearchListItemAdapter.java||Safe/src/main/java/org/openintents/safe/CryptoContentProvider.java||Safe/src/main/java/org/openintents/safe/CategoryEdit.java||Safe/src/main/res/drawable-ldpi-v11/ic_menu_switch_alpha.png||Safe/src/main/res/values-de/strings.xml||Safe/src/main/res/xml/about.xml||Safe/src/main/res/layout/cat_edit.xml||Safe/src/main/res/raw/dtmf2a.ogg||promotion/description/translations/description-fa.txt||Safe/src/main/res/layout/dialog_filename.xml||Safe/readme.txt||Safe/src/main/java/org/openintents/safe/model/CategoryEntry.java||Safe/src/androidTest/java/org/openintents/safe/test/SafeTest.java||SafeTest/build.xml||Safe/build.gradle||SafeTest/libs/robotium-solo-3.1-javadoc.jar||Safe/src/main/res/values/strings.xml||Safe/src/main/res/values-pl/strings.xml||promotion/description/translations/description-ug.txt||promotion/description/translations/description-fi.txt||promotion/description/translations/description-hi.txt||Safe/src/main/res/layout/search_fragment.xml||promotion/description/translations/description-sd.txt||Safe/src/main/res/drawable-xhdpi-v5/ic_launcher_safe.png||Safe/src/main/res/values-fi/strings.xml||promotion/description/translations/description-nl.txt||SafeTest/res/drawable-hdpi/icon.png||Safe/src/main/res/values-hi/strings.xml||Safe/src/main/java/org/openintents/safe/IntentHandler.java||Safe/src/main/java/org/openintents/safe/SearchFragment.java||Safe/src/main/java/org/openintents/safe/dialog/FilenameDialog.java||SafeDemo/src/org/openintents/safe/service/ServiceDispatch.aidl||Safe/src/main/res/layout/search.xml||promotion/description/translations/description-de.txt||promotion/description/translations/description-en.txt||Safe/src/main/java/org/openintents/safe/CSVWriter.java||Safe/src/main/AndroidManifest.xml||settings.gradle||Safe/src/main/res/drawable-hdpi-v11/ic_menu_switch_alpha.png||promotion/description/translations/description-pa.txt||Safe/src/main/java/org/openintents/safe/dialog/AllowExternalAccessDialog.java||SafeTest/project.properties||Safe/src/main/java/org/openintents/safe/LogOffActivity.java||Safe/src/main/java/org/openintents/safe/PassList.java||SafeTest/res/drawable-ldpi/icon.png||Safe/src/main/java/org/openintents/safe/CryptoHelper.java||Safe/src/main/java/org/openintents/safe/wrappers/honeycomb/ClipboardManager.java||Safe/src/main/res/layout-small/keypad.xml||SafeTest/src/org/openintents/safe/test/SafeTest.java||Safe/src/main/res/layout/cat_row.xml||promotion/description/translations/description-lv.txt||Safe/src/main/res/layout/help.xml||Safe/src/main/res/values-fr/strings.xml||Safe/src/main/java/org/openintents/safe/model/RestoreDataSet.java||Safe/src/main/res/values-be/strings.xml||Safe/src/main/res/values/donottranslate.xml||Safe/src/main/res/values-ug/strings.xml||Safe/src/main/res/anim/shake.xml||Safe/src/main/res/layout-land/front_door.xml||Safe/src/main/res/values-nb/strings.xml||SafeDemo/build.gradle||Safe/src/main/res/drawable-ldpi-v5/ic_launcher_safe.png||Safe/src/main/java/org/openintents/safe/CategoryList.java||Safe/src/main/java/org/openintents/safe/model/SearchEntry.java||Safe/src/main/res/values-pt-rBR/strings.xml||Safe/src/main/java/org/openintents/safe/FrontDoor.java||Safe/src/main/java/org/openintents/safe/dialog/DialogHostingActivity.java||Safe/src/main/res/values-sc/strings.xml||Safe/src/main/java/org/openintents/safe/wrappers/CheckWrappers.java||Safe/src/main/res/layout/search_row.xml||Safe/src/main/java/org/openintents/safe/Search.java||Safe/src/main/res/layout/auto_backup.xml||Safe/src/main/res/layout/restore_first_time.xml||Safe/src/main/java/org/openintents/safe/OutputStreamData.java||Safe/src/main/res/layout/pass_gen.xml||Safe/src/main/java/org/openintents/safe/PassEditFragment.java||Safe/src/main/res/values-iw/strings.xml||Safe/src/main/java/estreamj/framework/ESJException.java||promotion/description/translations/description-en-rGB.txt||SafeTest/res/drawable-mdpi/icon.png||Safe/src/main/res/layout/cat_list.xml||promotion/description/translations/description-da.txt||Safe/src/main/java/org/openintents/safe/model/PassEntry.java||Safe/src/main/java/org/openintents/safe/PassView.java||Safe/src/main/java/org/openintents/safe/Help.java||Safe/src/main/res/values-oc/strings.xml||Safe/src/main/res/drawable-hdpi-v11/ic_menu_add_password.png||Safe/src/main/res/layout/restore.xml||Safe/src/main/java/org/openintents/safe/InputStreamData.java||Safe/src/main/res/layout/log_off.xml||promotion/description/translations/description-pl.txt||Safe/src/main/res/values/colors.xml||promotion/description/translations/description-bg.txt||Safe/src/main/res/values-bg/strings.xml||Safe/src/main/res/drawable-hdpi-v5/ic_launcher_safe.png||Safe/src/main/res/values-en-rGB/strings.xml||Safe/src/main/java/org/openintents/intents/FileManagerIntents.java||Safe/src/main/res/drawable-xhdpi-v11/ic_menu_switch_alpha.png||Safe/src/main/res/values-tr/strings.xml||SafeTest/res/values/strings.xml||Safe/src/main/res/layout/keypad.xml||Safe/src/main/res/values-ar/strings.xml||Safe/src/main/res/values-el/strings.xml||Safe/src/main/java/org/openintents/safe/AskPassword.java||SafeTest/ant.properties||Safe/src/main/res/layout/dialog_allow_access.xml||Safe/src/main/res/values-zh-rCN/strings.xml,58c89233cba9df19653b5892,,0,1,1,0,1,1,0,1,1
velocity,- merging the texen string utils with the standard string utilss  class.sPR:sObtained from:sSubmitted by:sReviewed by:sssgit-svn-id: https://svn.apache.org/repos/asf/jakarta/velocity/trunk@74304 13f79535-47bb-0310-9956-ffa450edef68s,,,,,,,src/java/org/apache/velocity/util/StringUtils.java,58c9ef4ac8fb89206ccbcd53,Refact,0,1,0,0,1,0,0,1,1
oisafe,Moved auto locking to new AutoLockService classssTotally gutted ServiceDispatchImpl and moved all auto lock aspects to new class AutoLockServices which is now started upon successful unlocking in AskPassword.  Hopefully this will be the nail in the coffin of not having a service running after an unlock.  Plus this makes the auto lock process more straight forward.ssStill need to clean up IntentHandler to no longer have a service at all.s,,,,,,,Safe/src/org/openintents/safe/service/ServiceDispatch.aidl||Safe/src/org/openintents/safe/LogOffActivity.java||Safe/src/org/openintents/safe/CategoryList.java||Safe/src/org/openintents/safe/IntentHandler.java||Safe/src/org/openintents/safe/Preferences.java||Safe/src/org/openintents/safe/AskPassword.java||Safe/AndroidManifest.xml||Safe/src/org/openintents/safe/service/AutoLockService.java||Safe/src/org/openintents/safe/service/ServiceDispatchImpl.java,58c89233cba9df19623b58dd,,0,1,0,0,1,1,0,1,1
oisafe,Added a wrapper to better handle Notification.Builders,,,,,,,Safe/src/org/openintents/safe/wrappers/icecreamsandwich/WrapNotificationBuilder.java||Safe/src/org/openintents/safe/wrappers/CheckWrappers.java||Safe/.classpath||Safe/src/org/openintents/safe/service/ServiceNotification.java,58c89233cba9df19403b589c,,0,1,0,0,1,1,0,1,1
CommonsMath,Deprecated abstract factory methods and made SummaryStatisticssa concrete classes. Pushed implementations up from SummaryStatisticsImpl.sMade implementations of statistics configurable via setters.sssgit-svn-id: https://svn.apache.org/repos/asf/commons/proper/math/trunk@602304 13f79535-47bb-0310-9956-ffa450edef68s,,,,,,,xdocs/changes.xml||src/test/org/apache/commons/math/stat/descriptive/SummaryStatisticsTest.java||src/java/org/apache/commons/math/stat/descriptive/SummaryStatistics.java||src/java/org/apache/commons/math/stat/descriptive/SummaryStatisticsImpl.java,58bfd7c33cff546cd2b446c4,Refact;Doc,0,1,1,0,1,0,0,1,1
